canonical_playerId,canonical_name,canonical_minutes,morph_name,slot_id,match_method,clubs,rows,weeks,minutes_sum,minutes_delta,assists_sum,goals_sum,bonus_sum,points_sum,clean_sheets_sum,yellow_sum,fixtures
12413,Robert Huth,3111,Robert Huth,361,EXACT,Stoke City,38,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,3150,39,0,1,9,112,11,5,GW1:RDG(A) 1-1:18 Aug 15:00 | GW2:ARS(H) 0-0:26 Aug 13:30 | GW3:WIG(A) 2-2:01 Sep 15:00 | GW4:MCI(H) 1-1:15 Sep 15:00 | GW5:CHE(A) 0-1:22 Sep 15:00 | GW6:SWA(H) 2-0:29 Sep 15:00 | GW7:LIV(A) 0-0:07 Oct 15:00 | GW8:MUN(A) 2-4:20 Oct 15:00 | GW9:SUN(H) 0-0:27 Oct 15:00 | GW10:NOR(A) 0-1:03 Nov 15:00 | GW11:QPR(H) 1-0:10 Nov 15:00 | GW12:WHU(A) 1-1:19 Nov 20:00 | GW13:FUL(H) 1-0:24 Nov 15:00 | GW14:NEW(H) 2-1:28 Nov 19:45 | GW15:WBA(A) 1-0:01 Dec 15:00 | GW16:AVL(A) 0-0:08 Dec 15:00 | GW17:EVE(H) 1-1:15 Dec 15:00 | GW18:TOT(A) 0-0:22 Dec 15:00 | GW19:LIV(H) 3-1:26 Dec 19:45 | GW20:SOU(H) 3-3:29 Dec 15:00 | GW21:MCI(A) 0-3:01 Jan 15:00 | GW22:CHE(H) 0-4:12 Jan 15:00 | GW23:SWA(A) 1-3:19 Jan 15:00 | GW24:WIG(H) 2-2:29 Jan 19:45 | GW25:ARS(A) 0-1:02 Feb 15:00 | GW26:RDG(H) 2-1:09 Feb 15:00 | GW27:FUL(A) 0-1:23 Feb 12:45 | GW28:WHU(H) 0-1:02 Mar 15:00 | GW29:NEW(A) 1-2:10 Mar 15:00 | GW30:WBA(H) 0-0:16 Mar 15:00 | GW31:EVE(A) 0-1:30 Mar 17:30 | GW32:AVL(H) 1-3:06 Apr 15:00 | GW33:MUN(H) 0-2:14 Apr 14:05 | GW34:QPR(A) 2-0:20 Apr 15:00 | GW35:NOR(H) 1-0:27 Apr 15:00 | GW36:SUN(A) 1-1:06 May 20:00 | GW37:TOT(H) 1-2:12 May 13:30 | GW38:SOU(A) 1-1:19 May 16:00
28541,Fraizer Campbell,225,Fraizer Campbell,402,EXACT,Sunderland,37,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,264,39,0,1,0,17,1,0,GW1:ARS(A) 0-0:18 Aug 15:00 | GW3:SWA(A) 2-2:01 Sep 15:00 | GW4:LIV(H) 1-1:15 Sep 17:30 | GW5:WHU(A) 1-1:22 Sep 15:00 | GW6:WIG(H) 1-0:29 Sep 15:00 | GW7:MCI(A) 0-3:06 Oct 12:45 | GW8:NEW(H) 1-1:21 Oct 13:30 | GW9:STK(A) 0-0:27 Oct 15:00 | GW10:AVL(H) 0-1:03 Nov 15:00 | GW11:EVE(A) 1-2:10 Nov 15:00 | GW12:FUL(A) 3-1:18 Nov 16:00 | GW13:WBA(H) 2-4:24 Nov 12:45 | GW14:QPR(H) 0-0:27 Nov 19:45 | GW15:NOR(A) 1-2:02 Dec 16:00 | GW16:RDG(H) 3-0:11 Dec 19:45 | GW17:MUN(A) 1-3:15 Dec 15:00 | GW18:SOU(A) 1-0:22 Dec 15:00 | GW19:MCI(H) 1-0:26 Dec 15:00 | GW20:TOT(H) 1-2:29 Dec 12:45 | GW21:LIV(A) 0-3:02 Jan 19:45 | GW22:WHU(H) 3-0:12 Jan 15:00 | GW23:WIG(A) 3-2:19 Jan 15:00 | GW24:SWA(H) 0-0:29 Jan 19:45 | GW25:RDG(A) 1-2:02 Feb 15:00 | GW26:ARS(H) 0-1:09 Feb 15:00 | GW27:WBA(A) 1-2:23 Feb 15:00 | GW28:FUL(H) 2-2:02 Mar 15:00 | GW29:QPR(A) 1-3:09 Mar 15:00 | GW30:NOR(H) 1-1:17 Mar 13:30 | GW31:MUN(H) 0-1:30 Mar 12:45 | GW32:CHE(A) 1-2:07 Apr 15:00 | GW33:NEW(A) 3-0:14 Apr 12:00 | GW34:EVE(H) 1-0:20 Apr 15:00 | GW35:AVL(A) 1-6:29 Apr 20:00 | GW36:STK(H) 1-1:06 May 20:00 | GW37:SOU(H) 1-1:12 May 15:00 | GW38:TOT(A) 0-1:19 May 16:00
40387,Dan Gosling,1,Dan Gosling,240,EXACT,Newcastle,38,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,44,43,0,0,0,3,0,0,GW1:TOT(H) 2-1:18 Aug 17:30 | GW2:CHE(A) 0-2:25 Aug 17:30 | GW3:AVL(H) 1-1:02 Sep 16:00 | GW4:EVE(A) 2-2:17 Sep 20:00 | GW5:NOR(H) 1-0:23 Sep 15:00 | GW6:RDG(A) 2-2:29 Sep 15:00 | GW7:MUN(H) 0-3:07 Oct 16:00 | GW8:SUN(A) 1-1:21 Oct 13:30 | GW9:WBA(H) 2-1:28 Oct 15:00 | GW10:LIV(A) 1-1:04 Nov 16:00 | GW11:WHU(H) 0-1:11 Nov 15:00 | GW12:SWA(H) 1-2:17 Nov 15:00 | GW13:SOU(A) 0-2:25 Nov 15:00 | GW14:STK(A) 1-2:28 Nov 19:45 | GW15:WIG(H) 3-0:03 Dec 20:00 | GW16:FUL(A) 1-2:10 Dec 20:00 | GW17:MCI(H) 1-3:15 Dec 12:45 | GW18:QPR(H) 1-0:22 Dec 15:00 | GW19:MUN(A) 3-4:26 Dec 15:00 | GW20:ARS(A) 3-7:29 Dec 17:30 | GW21:EVE(H) 1-2:02 Jan 20:00 | GW22:NOR(A) 0-0:12 Jan 15:00 | GW23:RDG(H) 1-2:19 Jan 15:00 | GW24:AVL(A) 2-1:29 Jan 19:45 | GW25:CHE(H) 3-2:02 Feb 15:00 | GW26:TOT(A) 1-2:09 Feb 12:45 | GW27:SOU(H) 4-2:24 Feb 13:30 | GW28:SWA(A) 0-1:02 Mar 15:00 | GW29:STK(H) 2-1:10 Mar 15:00 | GW30:WIG(A) 1-2:17 Mar 16:00 | GW31:MCI(A) 0-4:30 Mar 15:00 | GW32:FUL(H) 1-0:07 Apr 15:00 | GW33:SUN(H) 0-3:14 Apr 12:00 | GW34:WBA(A) 1-1:20 Apr 15:00 | GW35:LIV(H) 0-6:27 Apr 17:30 | GW36:WHU(A) 0-0:04 May 15:00 | GW37:QPR(A) 2-1:12 May 15:00 | GW38:ARS(H) 0-1:19 May 16:00
18073,Mark Noble,2144,Mark Noble,499,EXACT,West Ham,36,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,2196,52,4,4,13,96,7,7,GW1:AVL(H) 1-0:18 Aug 15:00 | GW2:SWA(A) 0-3:25 Aug 12:45 | GW3:FUL(H) 3-0:01 Sep 12:45 | GW4:NOR(A) 0-0:15 Sep 12:45 | GW5:SUN(H) 1-1:22 Sep 15:00 | GW6:QPR(A) 2-1:01 Oct 20:00 | GW7:ARS(H) 1-3:06 Oct 17:30 | GW8:SOU(H) 4-1:20 Oct 15:00 | GW9:WIG(A) 1-2:27 Oct 15:00 | GW10:MCI(H) 0-0:03 Nov 17:30 | GW11:NEW(A) 1-0:11 Nov 15:00 | GW12:STK(H) 1-1:19 Nov 20:00 | GW13:TOT(A) 1-3:25 Nov 16:00 | GW14:MUN(A) 0-1:28 Nov 20:00 | GW15:CHE(H) 3-1:01 Dec 12:45 | GW16:LIV(H) 2-3:09 Dec 16:00 | GW17:WBA(A) 0-0:16 Dec 16:00 | GW18:EVE(H) 1-2:22 Dec 15:00 | GW20:RDG(A) 0-1:29 Dec 15:00 | GW21:NOR(H) 2-1:01 Jan 15:00 | GW22:SUN(A) 0-3:12 Jan 15:00 | GW23:ARS(A) 1-5:23 Jan 19:45 | GW24:FUL(A) 1-3:30 Jan 20:00 | GW25:SWA(H) 1-0:02 Feb 15:00 | GW26:AVL(A) 1-2:10 Feb 13:30 | GW27:TOT(H) 2-3:25 Feb 20:00 | GW28:STK(A) 1-0:02 Mar 15:00 | GW30:CHE(A) 0-2:17 Mar 16:00 | GW31:WBA(H) 3-1:30 Mar 15:00 | GW32:LIV(A) 0-0:07 Apr 13:30 | GW33:MUN(H) 2-2:17 Apr 19:45 | GW34:WIG(H) 2-0:20 Apr 15:00 | GW35:MCI(A) 1-2:27 Apr 12:45 | GW36:NEW(H) 0-0:04 May 15:00 | GW37:EVE(A) 0-2:12 May 15:00 | GW38:RDG(H) 4-2:19 May 16:00
55909,Chris Smalling,1082,Chris Smalling,198,EXACT,Man Utd,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,1020,-62,0,0,1,47,6,1,GW1:EVE(A) 0-1:20 Aug 20:00 | GW2:FUL(H) 3-2:25 Aug 15:00 | GW3:SOU(A) 3-2:02 Sep 16:00 | GW4:WIG(H) 4-0:15 Sep 15:00 | GW5:LIV(A) 2-1:23 Sep 13:30 | GW6:TOT(H) 2-3:29 Sep 17:30 | GW7:NEW(A) 3-0:07 Oct 16:00 | GW8:STK(H) 4-2:20 Oct 15:00 | GW9:CHE(A) 3-2:28 Oct 16:00 | GW10:ARS(H) 2-1:03 Nov 12:45 | GW11:AVL(A) 3-2:10 Nov 17:30 | GW12:NOR(A) 0-1:17 Nov 17:30 | GW13:QPR(H) 3-1:24 Nov 15:00 | GW14:WHU(H) 1-0:28 Nov 20:00 | GW15:RDG(A) 4-3:01 Dec 17:30 | GW16:MCI(A) 3-2:09 Dec 13:30 | GW17:SUN(H) 3-1:15 Dec 15:00 | GW18:SWA(A) 1-1:23 Dec 13:30 | GW19:NEW(H) 4-3:26 Dec 15:00 | GW20:WBA(H) 2-0:29 Dec 15:00 | GW21:WIG(A) 4-0:01 Jan 15:00 | GW22:LIV(H) 2-1:13 Jan 13:30 | GW23:TOT(A) 1-1:20 Jan 16:00 | GW24:SOU(H) 2-1:30 Jan 20:00 | GW25:FUL(A) 1-0:02 Feb 17:30 | GW26:EVE(H) 2-0:10 Feb 16:00 | GW27:QPR(A) 2-0:23 Feb 15:00 | GW28:NOR(H) 4-0:02 Mar 15:00 | GW30:RDG(H) 1-0:16 Mar 17:30 | GW31:SUN(A) 1-0:30 Mar 12:45 | GW32:MCI(H) 1-2:08 Apr 20:00 | GW33:WHU(A) 2-2:17 Apr 19:45 | GW34:AVL(H) 3-0:22 Apr 20:00 | GW35:ARS(A) 1-1:28 Apr 16:00 | GW36:CHE(H) 0-1:05 May 16:00 | GW37:SWA(H) 2-1:12 May 16:00 | GW38:WBA(A) 5-5:19 May 16:00
19057,Sebastian Larsson,2833,Sebastian Larsson,395,EXACT,Sunderland,37,1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,2897,64,6,1,8,110,13,5,GW1:ARS(A) 0-0:18 Aug 15:00 | GW3:SWA(A) 2-2:01 Sep 15:00 | GW4:LIV(H) 1-1:15 Sep 17:30 | GW5:WHU(A) 1-1:22 Sep 15:00 | GW6:WIG(H) 1-0:29 Sep 15:00 | GW7:MCI(A) 0-3:06 Oct 12:45 | GW8:NEW(H) 1-1:21 Oct 13:30 | GW9:STK(A) 0-0:27 Oct 15:00 | GW10:AVL(H) 0-1:03 Nov 15:00 | GW11:EVE(A) 1-2:10 Nov 15:00 | GW12:FUL(A) 3-1:18 Nov 16:00 | GW13:WBA(H) 2-4:24 Nov 12:45 | GW14:QPR(H) 0-0:27 Nov 19:45 | GW15:NOR(A) 1-2:02 Dec 16:00 | GW16:RDG(H) 3-0:11 Dec 19:45 | GW17:MUN(A) 1-3:15 Dec 15:00 | GW18:SOU(A) 1-0:22 Dec 15:00 | GW19:MCI(H) 1-0:26 Dec 15:00 | GW20:TOT(H) 1-2:29 Dec 12:45 | GW21:LIV(A) 0-3:02 Jan 19:45 | GW22:WHU(H) 3-0:12 Jan 15:00 | GW23:WIG(A) 3-2:19 Jan 15:00 | GW24:SWA(H) 0-0:29 Jan 19:45 | GW25:RDG(A) 1-2:02 Feb 15:00 | GW26:ARS(H) 0-1:09 Feb 15:00 | GW27:WBA(A) 1-2:23 Feb 15:00 | GW28:FUL(H) 2-2:02 Mar 15:00 | GW29:QPR(A) 1-3:09 Mar 15:00 | GW30:NOR(H) 1-1:17 Mar 13:30 | GW31:MUN(H) 0-1:30 Mar 12:45 | GW32:CHE(A) 1-2:07 Apr 15:00 | GW33:NEW(A) 3-0:14 Apr 12:00 | GW34:EVE(H) 1-0:20 Apr 15:00 | GW35:AVL(A) 1-6:29 Apr 20:00 | GW36:STK(H) 1-1:06 May 20:00 | GW37:SOU(H) 1-1:12 May 15:00 | GW38:TOT(A) 0-1:19 May 16:00
15944,Michael Kightly,160,Michael Kightly,470,EXACT,Wolves,1,33,90,-70,0,0,0,1,0,1,GW33:ARS(H) 0-3:11 April 19:45
15749,Joe Hart,3420,Joe Hart,171,EXACT,Man City,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,3330,-90,0,0,1,152,17,1,GW1:SOU(H) 3-2:19 Aug 16:00 | GW2:LIV(A) 2-2:26 Aug 16:00 | GW3:QPR(H) 3-1:01 Sep 17:30 | GW4:STK(A) 1-1:15 Sep 15:00 | GW5:ARS(H) 1-1:23 Sep 16:00 | GW6:FUL(A) 2-1:29 Sep 15:00 | GW7:SUN(H) 3-0:06 Oct 12:45 | GW8:WBA(A) 2-1:20 Oct 15:00 | GW9:SWA(H) 1-0:27 Oct 17:30 | GW10:WHU(A) 0-0:03 Nov 17:30 | GW11:TOT(H) 2-1:11 Nov 13:30 | GW12:AVL(H) 5-0:17 Nov 15:00 | GW13:CHE(A) 0-0:25 Nov 16:00 | GW14:WIG(A) 2-0:28 Nov 20:00 | GW15:EVE(H) 1-1:01 Dec 15:00 | GW16:MUN(H) 2-3:09 Dec 13:30 | GW17:NEW(A) 3-1:15 Dec 12:45 | GW18:RDG(H) 1-0:22 Dec 15:00 | GW19:SUN(A) 0-1:26 Dec 15:00 | GW20:NOR(A) 4-3:29 Dec 15:00 | GW21:STK(H) 3-0:01 Jan 15:00 | GW22:ARS(A) 2-0:13 Jan 16:00 | GW23:FUL(H) 2-0:19 Jan 15:00 | GW24:QPR(A) 0-0:29 Jan 19:45 | GW25:LIV(H) 2-2:03 Feb 16:00 | GW26:SOU(A) 1-3:09 Feb 17:30 | GW27:CHE(H) 2-0:24 Feb 13:30 | GW28:AVL(A) 1-0:04 Mar 20:00 | GW30:EVE(A) 0-2:16 Mar 12:45 | GW31:NEW(H) 4-0:30 Mar 15:00 | GW32:MUN(A) 2-1:08 Apr 20:00 | GW33:WIG(H) 1-0:17 Apr 19:45 | GW34:TOT(A) 1-3:21 Apr 13:30 | GW35:WHU(H) 2-1:27 Apr 12:45 | GW36:WBA(H) 1-0:07 May 19:45 | GW37:RDG(A) 2-0:14 May 20:00 | GW38:NOR(H) 2-3:19 May 16:00
12745,Leighton Baines,3420,Leighton Baines,97,EXACT,Everton,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,3330,-90,7,5,24,171,10,4,GW1:MUN(H) 1-0:20 Aug 20:00 | GW2:AVL(A) 3-1:25 Aug 15:00 | GW3:WBA(A) 0-2:01 Sep 15:00 | GW4:NEW(H) 2-2:17 Sep 20:00 | GW5:SWA(A) 3-0:22 Sep 12:45 | GW6:SOU(H) 3-1:29 Sep 15:00 | GW7:WIG(A) 2-2:06 Oct 15:00 | GW8:QPR(A) 1-1:21 Oct 16:00 | GW9:LIV(H) 2-2:28 Oct 13:30 | GW10:FUL(A) 2-2:03 Nov 15:00 | GW11:SUN(H) 2-1:10 Nov 15:00 | GW12:RDG(A) 1-2:17 Nov 15:00 | GW13:NOR(H) 1-1:24 Nov 15:00 | GW14:ARS(H) 1-1:28 Nov 19:45 | GW15:MCI(A) 1-1:01 Dec 15:00 | GW16:TOT(H) 2-1:09 Dec 15:00 | GW17:STK(A) 1-1:15 Dec 15:00 | GW18:WHU(A) 2-1:22 Dec 15:00 | GW19:WIG(H) 2-1:26 Dec 15:00 | GW20:CHE(H) 1-2:30 Dec 13:30 | GW21:NEW(A) 2-1:02 Jan 20:00 | GW22:SWA(H) 0-0:12 Jan 15:00 | GW23:SOU(A) 0-0:21 Jan 20:00 | GW24:WBA(H) 2-1:30 Jan 19:45 | GW25:AVL(H) 3-3:02 Feb 15:00 | GW26:MUN(A) 0-2:10 Feb 16:00 | GW27:NOR(A) 1-2:23 Feb 15:00 | GW28:RDG(H) 3-1:02 Mar 15:00 | GW30:MCI(H) 2-0:16 Mar 12:45 | GW31:STK(H) 1-0:30 Mar 17:30 | GW32:TOT(A) 2-2:07 Apr 14:05 | GW33:ARS(A) 0-0:16 Apr 19:45 | GW34:SUN(A) 0-1:20 Apr 15:00 | GW35:FUL(H) 1-0:27 Apr 15:00 | GW36:LIV(A) 0-0:05 May 13:30 | GW37:WHU(H) 2-0:12 May 15:00 | GW38:CHE(A) 1-2:19 May 16:00
86168,Rubén Rochina,117,Ruben Rochina,68,EXACT,Blackburn,3,3 17 29,26,-91,0,0,0,1,0,0,GW3:EVE(H) 0-1:27 Aug. 15:00 | GW17:BOL(H) 1-2:20 Dec. 20:00 | GW29:SUN(H) 2-0:20 March 20:00
21060,Jonás Gutiérrez,2982,Jonas Gutierrez,241,EXACT,Newcastle,38,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,2890,-92,2,1,3,76,5,8,GW1:TOT(H) 2-1:18 Aug 17:30 | GW2:CHE(A) 0-2:25 Aug 17:30 | GW3:AVL(H) 1-1:02 Sep 16:00 | GW4:EVE(A) 2-2:17 Sep 20:00 | GW5:NOR(H) 1-0:23 Sep 15:00 | GW6:RDG(A) 2-2:29 Sep 15:00 | GW7:MUN(H) 0-3:07 Oct 16:00 | GW8:SUN(A) 1-1:21 Oct 13:30 | GW9:WBA(H) 2-1:28 Oct 15:00 | GW10:LIV(A) 1-1:04 Nov 16:00 | GW11:WHU(H) 0-1:11 Nov 15:00 | GW12:SWA(H) 1-2:17 Nov 15:00 | GW13:SOU(A) 0-2:25 Nov 15:00 | GW14:STK(A) 1-2:28 Nov 19:45 | GW15:WIG(H) 3-0:03 Dec 20:00 | GW16:FUL(A) 1-2:10 Dec 20:00 | GW17:MCI(H) 1-3:15 Dec 12:45 | GW18:QPR(H) 1-0:22 Dec 15:00 | GW19:MUN(A) 3-4:26 Dec 15:00 | GW20:ARS(A) 3-7:29 Dec 17:30 | GW21:EVE(H) 1-2:02 Jan 20:00 | GW22:NOR(A) 0-0:12 Jan 15:00 | GW23:RDG(H) 1-2:19 Jan 15:00 | GW24:AVL(A) 2-1:29 Jan 19:45 | GW25:CHE(H) 3-2:02 Feb 15:00 | GW26:TOT(A) 1-2:09 Feb 12:45 | GW27:SOU(H) 4-2:24 Feb 13:30 | GW28:SWA(A) 0-1:02 Mar 15:00 | GW29:STK(H) 2-1:10 Mar 15:00 | GW30:WIG(A) 1-2:17 Mar 16:00 | GW31:MCI(A) 0-4:30 Mar 15:00 | GW32:FUL(H) 1-0:07 Apr 15:00 | GW33:SUN(H) 0-3:14 Apr 12:00 | GW34:WBA(A) 1-1:20 Apr 15:00 | GW35:LIV(H) 0-6:27 Apr 17:30 | GW36:WHU(A) 0-0:04 May 15:00 | GW37:QPR(A) 2-1:12 May 15:00 | GW38:ARS(H) 0-1:19 May 16:00
2060,Joe Cole,796,Joe Cole,160,EXACT,West Ham,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,702,-94,1,2,2,35,0,2,GW1:WBA(A) 0-3:18 Aug 15:00 | GW2:MCI(H) 2-2:26 Aug 16:00 | GW3:ARS(H) 0-2:02 Sep 13:30 | GW4:SUN(A) 1-1:15 Sep 17:30 | GW5:MUN(H) 1-2:23 Sep 13:30 | GW6:NOR(A) 5-2:29 Sep 15:00 | GW7:STK(H) 0-0:07 Oct 15:00 | GW8:RDG(H) 1-0:20 Oct 15:00 | GW9:EVE(A) 2-2:28 Oct 13:30 | GW10:NEW(H) 1-1:04 Nov 16:00 | GW11:CHE(A) 1-1:11 Nov 16:00 | GW12:WIG(H) 3-0:17 Nov 15:00 | GW13:SWA(A) 0-0:25 Nov 13:30 | GW14:TOT(A) 1-2:28 Nov 19:45 | GW15:SOU(H) 1-0:01 Dec 15:00 | GW16:WHU(A) 3-2:09 Dec 16:00 | GW17:AVL(H) 1-3:15 Dec 15:00 | GW18:FUL(H) 4-0:22 Dec 17:30 | GW19:STK(A) 1-3:26 Dec 19:45 | GW20:QPR(A) 3-0:30 Dec 16:00 | GW21:SUN(H) 3-0:02 Jan 19:45 | GW22:SUN(A) 0-3:12 Jan 15:00 | GW23:ARS(A) 1-5:23 Jan 19:45 | GW24:FUL(A) 1-3:30 Jan 20:00 | GW25:SWA(H) 1-0:02 Feb 15:00 | GW26:AVL(A) 1-2:10 Feb 13:30 | GW27:TOT(H) 2-3:25 Feb 20:00 | GW28:STK(A) 1-0:02 Mar 15:00 | GW30:CHE(A) 0-2:17 Mar 16:00 | GW31:WBA(H) 3-1:30 Mar 15:00 | GW32:LIV(A) 0-0:07 Apr 13:30 | GW33:MUN(H) 2-2:17 Apr 19:45 | GW34:WIG(H) 2-0:20 Apr 15:00 | GW35:MCI(A) 1-2:27 Apr 12:45 | GW36:NEW(H) 0-0:04 May 15:00 | GW37:EVE(A) 0-2:12 May 15:00 | GW38:RDG(H) 4-2:19 May 16:00
42425,Matthew Briggs,198,Matthew Briggs,120,EXACT,Fulham,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,297,99,1,0,0,9,0,0,GW1:NOR(H) 5-0:18 Aug 15:00 | GW2:MUN(A) 2-3:25 Aug 15:00 | GW3:WHU(A) 0-3:01 Sep 12:45 | GW4:WBA(H) 3-0:15 Sep 15:00 | GW5:WIG(A) 2-1:22 Sep 15:00 | GW6:MCI(H) 1-2:29 Sep 15:00 | GW7:SOU(A) 2-2:07 Oct 13:30 | GW8:AVL(H) 1-0:20 Oct 15:00 | GW9:RDG(A) 3-3:27 Oct 15:00 | GW10:EVE(H) 2-2:03 Nov 15:00 | GW11:ARS(A) 3-3:10 Nov 15:00 | GW12:SUN(H) 1-3:18 Nov 16:00 | GW13:STK(A) 0-1:24 Nov 15:00 | GW14:CHE(A) 0-0:28 Nov 19:45 | GW15:TOT(H) 0-3:01 Dec 15:00 | GW16:NEW(H) 2-1:10 Dec 20:00 | GW17:QPR(A) 1-2:15 Dec 15:00 | GW18:LIV(A) 0-4:22 Dec 17:30 | GW19:SOU(H) 1-1:26 Dec 15:00 | GW20:SWA(H) 1-2:29 Dec 15:00 | GW21:WBA(A) 2-1:01 Jan 12:45 | GW22:WIG(H) 1-1:12 Jan 15:00 | GW23:MCI(A) 0-2:19 Jan 15:00 | GW24:WHU(H) 3-1:30 Jan 20:00 | GW25:MUN(H) 0-1:02 Feb 17:30 | GW26:NOR(A) 0-0:09 Feb 15:00 | GW27:STK(H) 1-0:23 Feb 12:45 | GW28:SUN(A) 2-2:02 Mar 15:00 | GW30:TOT(A) 1-0:17 Mar 15:00 | GW31:QPR(H) 3-2:01 Apr 20:00 | GW32:NEW(A) 0-1:07 Apr 15:00 | GW33:CHE(H) 0-3:17 Apr 20:00 | GW34:ARS(H) 0-1:20 Apr 15:00 | GW35:EVE(A) 0-1:27 Apr 15:00 | GW36:RDG(H) 2-4:04 May 15:00 | GW37:LIV(H) 1-3:12 May 15:00 | GW38:SWA(A) 3-0:19 May 16:00
11911,Gary Caldwell,1977,Gary Caldwell,515,EXACT,Wigan,37,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38,2079,102,1,1,5,47,4,8,GW1:CHE(H) 0-2:19 Aug 13:30 | GW2:SOU(A) 2-0:25 Aug 15:00 | GW3:STK(H) 2-2:01 Sep 15:00 | GW4:MUN(A) 0-4:15 Sep 15:00 | GW5:FUL(H) 1-2:22 Sep 15:00 | GW6:SUN(A) 0-1:29 Sep 15:00 | GW7:EVE(H) 2-2:06 Oct 15:00 | GW8:SWA(A) 1-2:20 Oct 15:00 | GW9:WHU(H) 2-1:27 Oct 15:00 | GW10:TOT(A) 1-0:03 Nov 15:00 | GW11:WBA(H) 1-2:10 Nov 15:00 | GW12:LIV(A) 0-3:17 Nov 15:00 | GW13:RDG(H) 3-2:24 Nov 15:00 | GW14:MCI(H) 0-2:28 Nov 20:00 | GW15:NEW(A) 0-3:03 Dec 20:00 | GW16:QPR(H) 2-2:08 Dec 15:00 | GW17:NOR(A) 1-2:15 Dec 15:00 | GW18:ARS(H) 0-1:22 Dec 12:45 | GW19:EVE(A) 1-2:26 Dec 15:00 | GW20:AVL(A) 3-0:29 Dec 15:00 | GW21:MUN(H) 0-4:01 Jan 15:00 | GW22:FUL(A) 1-1:12 Jan 15:00 | GW23:SUN(H) 2-3:19 Jan 15:00 | GW24:STK(A) 2-2:29 Jan 19:45 | GW25:SOU(H) 2-2:02 Feb 15:00 | GW26:CHE(A) 1-4:09 Feb 15:00 | GW27:RDG(A) 3-0:23 Feb 15:00 | GW28:LIV(H) 0-4:02 Mar 17:30 | GW30:NEW(H) 2-1:17 Mar 16:00 | GW31:NOR(H) 1-0:30 Mar 15:00 | GW32:QPR(A) 1-1:07 Apr 16:10 | GW33:MCI(A) 0-1:17 Apr 19:45 | GW34:WHU(A) 0-2:20 Apr 15:00 | GW35:TOT(H) 2-2:27 Apr 15:00 | GW36:SWA(H) 2-3:07 May 19:45 | GW37:ARS(A) 1-4:14 May 19:45 | GW38:AVL(H) 2-2:19 May 16:00
